m,s,r,g,level,thin,delta,se,n,slope,callup_first,demotion_first,same_day
kbb,2025,SP,PCL,"s,r,g",False,-0.034352632150874945,0.011257082090154424,29,0.43956642575312654,-0.03607145753350206,-0.03088575306098819,
kbb,2023,RP,IL,"s,r,g",False,-0.04507692618407278,0.007551948054330768,101,0.3453391799747304,-0.0410586570440767,-0.05444680639867445,
kbb,2023,RP,PCL,"s,r,g",False,-0.04110085798012675,0.009309311715130478,49,0.3354014449566869,-0.05089540957659656,-0.021684138389053424,
kbb,2024,RP,IL,"s,r,g",False,-0.04754900581502394,0.009887657719441263,83,0.21756609328498638,-0.04663663096867344,-0.05073952670255236,
kbb,2024,RP,PCL,"s,r,g",False,-0.05159582366142373,0.012573074804256922,44,0.2067695977155359,-0.04318577848233286,-0.06400921642536135,
kbb,2025,RP,IL,"s,r,g",False,-0.04342092167690055,0.007301018745616199,106,0.26058039422605456,-0.04590397220684613,-0.03732583598145919,
kbb,2025,RP,PCL,"s,r,g",False,-0.053765358623842234,0.012868766621930303,39,0.19264590320677413,-0.04059228049828627,-0.10065579454935575,
fipn,2023,SP,IL,"s,r,g",False,0.09679658997938155,0.042465518688377966,62,0.1440537878720681,0.11727479141432053,0.05265063106844193,
fipn,2023,SP,PCL,"s,r,g",False,0.16964048602062515,0.05247373637102401,20,0.06459443025919286,0.1847956565208551,0.11759965180143866,
fipn,2024,SP,IL,"s,r,g",False,0.18901979253866685,0.02932864205268064,56,0.5827594925955882,0.19155167863708142,0.17975797607289107,
fipn,2024,SP,PCL,"s,r,g",False,0.18316365044546215,0.04784344937916885,29,0.3200355130629241,0.15053168616552237,0.24860724338794868,
fipn,2025,SP,IL,"s,r,g",False,0.15456938984272034,0.04625082711861134,62,0.08349417434363245,0.16488568279415688,0.12310117164171092,
fipn,2025,SP,PCL,"s,r,g",False,0.23386119487914594,0.05386099174530398,29,0.299082473065277,0.2399091761150188,0.2216623875456008,
fipn,2023,RP,IL,"s,r,g",False,0.14209550165639911,0.03422358865324348,101,0.14085975046094468,0.10259232094028538,0.23420980722183218,
fipn,2023,RP,PCL,"s,r,g",False,0.203675327573333,0.037921101178882984,49,0.3067258156058912,0.21478365563273688,0.18165417745423668,
fipn,2024,RP,IL,"s,r,g",False,0.15217772542092997,0.04290476512358705,83,0.23060948237121687,0.12804369942914953,0.23657298723128226,
fipn,2024,RP,PCL,"s,r,g",False,0.22679293579250714,0.05654534192155306,44,0.08790561757802619,0.19240724429515213,0.2775468954831731,
fipn,2025,RP,IL,"s,r,g",False,0.230211685179873,0.029053745852696194,106,0.4381164177469853,0.21274319934714397,0.27309116621984186,
fipn,2025,RP,PCL,"s,r,g",False,0.2429474760228813,0.06921166083582042,39,0.11424904217099441,0.21548141639015767,0.34071471744203186,
whiff,2023,bat,IL,"s,r,g",False,0.02433721637661673,0.0037647166572527904,137,0.7587414476272191,0.02420495054809741,0.024661964446651852,
whiff,2023,bat,PCL,"s,r,g",False,0.040003401501987626,0.006706803577278695,63,0.9041637105554327,0.035786460038850686,0.049758319068383565,
whiff,2024,bat,IL,"s,r,g",False,0.014700795998923958,0.004092033797347574,115,0.8528716764437521,0.012908863667185331,0.01740036321408064,
whiff,2024,bat,PCL,"s,r,g",False,0.033454714191774586,0.00512925122044199,68,0.922334121418988,0.03516706285369819,0.03060149105518668,
